id_filial,nome_filial,matriz,razao_social,fone,cnpj,status,cidade,estado,filial_franquadora,nome_estado,long,lat,alt,geometry
643282,MARINGÁ (Av. Morangueira),Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)9124-6199,280.312.600-00658,Ativo,maringa,pr,0,parana,-51.9398818702521,-23.42228,560.092769,POINT (-51.93988187025206 -23.422279999999997)
937687,MAUA,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(11)00000-0000,28.031.260/0016-20,Ativo,maua,sp,0,sao paulo,-46.4582620121647,-23.6693345,789.329467,POINT (-46.45826201216464 -23.669334499999998)
1018666,MOGI DAS CRUZES,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(19)00000-0000,28.031.260/0017-00,Ativo,mogi das cruzes,sp,0,sao paulo,-46.1967600843266,-23.5227065,749.804017,POINT (-46.19676008432655 -23.522706499999995)
396209,MOGI GUAÇU,Muniz Auto Center - C.D,A. L. M. COMERCIO DE PNEUMATICOS LTDA,(19)3891-8585,48189412000148,Ativo,mogi guacu,sp,0,sao paulo,-46.9444740881491,-22.3657201895116,607.014521,POINT (-46.944474088149065 -22.365720189511563)
652315,MONTES CLAROS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS MONTES CLAROS LTDA,(38)99815-0225,501.033.210-00190,Ativo,montes claros,mg,0,minas gerais,-43.8654224343832,-16.7227066399838,643.399946,POINT (-43.86542243438315 -16.72270663998375)
478542,NAVEGANTES,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS NAVEGANTES LTDA,(47)3240-0597,48.635.721/0001-02,Ativo,navegantes,sc,0,santa catarina,-48.6491829025091,-26.8974391192712,4.928359,POINT (-48.649182902509125 -26.897439119271148)
1142623,NOVO HAMBURGO,Muniz Auto Center - C.D,NOVO HAMBURGO COMERCIO DE PNEUMATICOS LTDA,(54)0000-0000,53.720.563/0001-10,Ativo,novo hamburgo,rs,0,rio grande do sul,-51.1286052776319,-29.6863260251772,34.990645,POINT (-51.12860527763185 -29.6863260251772)
939876,OSASCO,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS OSASCO LTDA,(11)00000-0000,52.299.274/0001-27,Ativo,osasco,sp,0,sao paulo,-46.7888101442714,-23.533612,742.966377,POINT (-46.78881014427141 -23.533611999999998)
531392,OURINHOS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS OURINHOS LTDA,(14)3324-8735,48828379000159,Ativo,ourinhos,sp,0,sao paulo,-49.868579835937,-22.9772675,482.571161,POINT (-49.868579835936956 -22.9772675)
355237,PALHOÇA,Muniz Auto Center - C.D,MARANATA COMERCIO DE PNEUMATICOS LTDA,(48)2012-8494,46.773.819/0001-92,Ativo,palhoca,sc,0,santa catarina,-48.6702879187122,-27.6470436836907,6.358249,POINT (-48.67028791871223 -27.647043683690697)
376478,PALMAS,Muniz Auto Center - C.D,FBR COMERCIO DE PNEUMATICOS LTDA,(44)99996-0006,47.211.737/0001-17,Ativo,palmas,to,0,tocantins,-48.3510437082462,-10.1632533267928,234.047277,POINT (-48.35104370824618 -10.163253326792749)
777004,PARANAGUA,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)9124-6199,28031260001034,Ativo,paranagua,pr,0,parana,-48.5247328366567,-25.5068415,7.012459,POINT (-48.524732836656696 -25.5068415)
776958,PARANAVAI,Muniz Auto Center - C.D,MUNIZ FRANQUIAS LTDA,(44)9124-6199,28031260001204,Ativo,paranavai,pr,0,parana,-52.462401669956,-23.081879475,467.54666,POINT (-52.46240166995602 -23.081879475)
546075,PARAUAPEBAS,Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS PARAUPEBAS LTDA,(94)9205-6996,490.240.210-00136,Ativo,parauapebas,pa,0,para,-49.900780634297,-6.07272988763184,155.338669,POINT (-49.900780634296936 -6.0727298876318345)
396224,PASSO FUNDO,Muniz Auto Center - C.D,GIRARDI & TEODORO COMERCIO DE PNEUMATICOS LTDA,(54)99155-9242,477.786.710-00141,Ativo,passo fundo,rs,0,rio grande do sul,-52.4070950926172,-28.2617671279049,690.554597,POINT (-52.40709509261714 -28.261767127904847)
409887,PATO BRANCO,Muniz Auto Center - C.D,BV COMERCIO DE PNEUMATICOS LTDA,(46)3040-0093,47.783.872/0001-37,Ativo,pato branco,pr,0,parana,-52.6773619976723,-26.229958515,781.552383,POINT (-52.67736199767224 -26.229958515)
475342,PATOS DE MINAS,Muniz Auto Center - C.D,P. O. R. COMERCIO DE PNEUMATICOS LTDA,(34)3467-1262,48641568000118,Ativo,patos de minas,mg,0,minas gerais,-46.5159156766059,-18.5925708199234,836.073758,POINT (-46.51591567660591 -18.59257081992335)
1018691,PELOTAS,Muniz Auto Center - C.D,PELOTAS COM DE PNEUMATICOS LTDA,(44)0000-00000,52.926.004/0001-07,Ativo,pelotas,rs,0,rio grande do sul,-52.3443200629915,-31.7195978808292,15.386528,POINT (-52.34432006299152 -31.71959788082915)
1235304,PINDAMONHANGABA,Muniz Auto Center - C.D,PINDAMONHANGABA MO COMERCIO DE PNEUMATICOS LTDA,(00)00000-0000,53.960.298/0001-48,Ativo,pindamonhangaba,sp,0,sao paulo,-45.4620488462304,-22.9266687258989,559.005175,POINT (-45.4620488462304 -22.92666872589885)
717472,PINHAIS (WEISSOPOLIS),Muniz Auto Center - C.D,COMERCIO DE PNEUMATICOS DRB PINHAIS LTDA,(41)99273-6713,50.655.658/0001-00,Ativo,pinhais,pr,0,parana,-49.1991974196099,-25.4421978879055,880.640698,POINT (-49.199197419609874 -25.4421978879055)
224397,PONTA GROSSA,Muniz Auto Center - C.D,B&V COMERCIO DE PNEUMATICOS LTDA,(42)3226-6654,43286955000160,Ativo,ponta grossa,pr,0,parana,-50.1614420592942,-25.092547,955.176664,POINT (-50.161442059294174 -25.092547)
